Data properties:

Recording date: 5/15/2009
Recording time: 12:33:48:000 (corresponds to time 0)
Study: PoPAnalyst-static-image
Subject: P02-arzu
Recording: Rec 02
Screen resolution: 1600 x 1200
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: ClearView fixation filter
Fixation radius: 50
Min duration: 100

Timestamp	StimuliName	AoiNames	GazePointX	GazePointY	FixationDuration	
2458	statemap.jpg	ID	314	314	200	
2475	statemap.jpg	Content	0	0		
2492	statemap.jpg	Content	0	0		
2508	statemap.jpg	Content	0	0		
2525	statemap.jpg	ID	339	391	150	
2542	statemap.jpg	ID	342	390	150	
2558	statemap.jpg	ID	347	394	150	
2575	statemap.jpg	ID	341	390	150	
2592	statemap.jpg	ID	334	387	150	
2608	statemap.jpg	ID	342	402	150	
2625	statemap.jpg	ID	335	382	150	
2641	statemap.jpg	ID	351	398	150	
2658	statemap.jpg	ID	346	389	150	
2675	statemap.jpg	Content	423	341		
2691	statemap.jpg	MT	462	300	533	
2708	statemap.jpg	MT	466	310	533	
2725	statemap.jpg	MT	461	306	533	
2741	statemap.jpg	MT	456	318	533	
2758	statemap.jpg	MT	437	304	533	
2775	statemap.jpg	MT	467	317	533	
2791	statemap.jpg	MT	456	319	533	
2808	statemap.jpg	MT	459	328	533	
2825	statemap.jpg	MT	456	330	533	
2841	statemap.jpg	MT	456	322	533	
2858	statemap.jpg	MT	457	304	533	
2875	statemap.jpg	MT	451	305	533	
2891	statemap.jpg	MT	455	322	533	
2908	statemap.jpg	MT	463	303	533	
2925	statemap.jpg	MT	466	321	533	
2941	statemap.jpg	MT	493	306	533	
2958	statemap.jpg	MT	482	307	533	
2975	statemap.jpg	MT	484	308	533	
2991	statemap.jpg	MT	492	312	533	
3008	statemap.jpg	MT	478	317	533	
3025	statemap.jpg	MT	498	314	533	
3041	statemap.jpg	MT	483	314	533	
3058	statemap.jpg	MT	483	314	533	
3075	statemap.jpg	MT	481	303	533	
3091	statemap.jpg	MT	480	305	533	
3108	statemap.jpg	MT	478	313	533	
3125	statemap.jpg	MT	488	302	533	
3141	statemap.jpg	MT	482	302	533	
3158	statemap.jpg	MT	488	316	533	
3174	statemap.jpg	MT	483	306	533	
3191	statemap.jpg	MT	485	296	533	
3208	statemap.jpg	MT	480	319	533	
3224	statemap.jpg	Content	608	311		
3241	statemap.jpg	ND	671	318	250	
3258	statemap.jpg	ND	661	301	250	
3274	statemap.jpg	ND	666	323	250	
3291	statemap.jpg	ND	666	312	250	
3308	statemap.jpg	ND	675	322	250	
3324	statemap.jpg	ND	672	298	250	
3341	statemap.jpg	ND	671	297	250	
3358	statemap.jpg	ND	668	307	250	
